[2014-12-11 16:30:10 437ms]		[S:]====Action=CalculateCRC#iRecordResult=0#ChipRid=A5F9342FE3BDD9151BB4160FAE4089DC
[2014-12-11 16:31:53 140ms]		[S:]====Action=CalculateCRC#iRecordResult=32913#ChipRid=A5F9342FE3BDD9151BB4160FAE4089DC
[2014-12-11 16:32:04 31ms]		[S:]====Action=CalculateCRC#iRecordResult=32913#ChipRid=A5F9342FE3BDD9151BB4160FAE4089DC
[2014-12-11 16:32:04 734ms]		[S:]====Action=CalculateCRC#iRecordResult=32913#ChipRid=A5F9342FE3BDD9151BB4160FAE4089DC
[2014-12-11 16:32:05 234ms]		[S:]====Action=CalculateCRC#iRecordResult=32913#ChipRid=A5F9342FE3BDD9151BB4160FAE4089DC
[2014-12-11 16:32:15 31ms]		[S:]====Action=CalculateCRC#iRecordResult=32913#ChipRid=A5F9342FE3BDD9151BB4160FAE4089DC
[2014-12-11 16:32:15 484ms]		[S:]====Action=CalculateCRC#iRecordResult=32913#ChipRid=A5F9342FE3BDD9151BB4160FAE4089DC
[2014-12-11 16:32:15 953ms]		[S:]====Action=CalculateCRC#iRecordResult=32913#ChipRid=A5F9342FE3BDD9151BB4160FAE4089DC
[2014-12-11 16:32:16 359ms]		[S:]====Action=CalculateCRC#iRecordResult=32913#ChipRid=A5F9342FE3BDD9151BB4160FAE4089DC
[2014-12-11 16:32:16 703ms]		[S:]====Action=CalculateCRC#iRecordResult=32913#ChipRid=A5F9342FE3BDD9151BB4160FAE4089DC
